id,topic,page_title,section_heading,content,source,url
151,Processes For Safe Immunisation,2. Processes for safe immunisation,Individuals with these conditions should be vaccinated with all the recommended vaccines. > 2.1.6. Catch-up programmes for unimmunised or partially immunised children > Vaccination of children with inadequate vaccination records,"页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > 2.1.6. Catch-up programmes for unimmunised or partially immunised children > Vaccination of children with inadequate vaccination records
---
It is recommended that children without a documented history of vaccination have a full course of vaccinations appropriate for their age. It is preferable, and safe, for the individual to receive an unnecessary dose rather than to miss out a required dose(s) and not be fully protected.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
152,Processes For Safe Immunisation,2. Processes for safe immunisation,Individuals with these conditions should be vaccinated with all the recommended vaccines. > 2.1.7. Adult vaccination (aged 18 years and older),"页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > 2.1.7. Adult vaccination (aged 18 years and older)
---
Whenever adults are seen in general practice or by immunisation providers, there is an opportunity to ensure they have been adequately protected against the following diseases and have received at least a primary immunisation course as described in Table 2.4 . If the requisite number of doses has not been received, catch-up vaccination is recommended and funded (see Appendix 2 ).

Women of childbearing age should know whether or not they are immune to measles (see chapter 12 ), rubella (see chapter 21 ) and varicella (see chapter 24 ).

Refer to the PHARMAC schedule for further details on vaccines funded for adults (available on the PHARMAC website (external link) ).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
153,Processes For Safe Immunisation,2. Processes for safe immunisation,Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.4: Funded immunisation for adults,"页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.4: Funded immunisation for adults
---
Number of vaccine doses

Poliomyelitis (IPV)

Measles, mumps, rubella

HPV (aged 26 years and under)

1 dose annually (for eligible groups)

a. Although pertussis protection is included in the Tdap vaccine as part of protection against Tetanus and diphtheria, if a patient is missing this antigen only but is otherwise fully vaccinated, no further vaccines are required unless the patient is pregnant.

b. Individuals who were under age 27 years when they commenced HPV vaccination are currently funded to complete the 3-dose course, even if they are older than 27 years when they complete it.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
154,Processes For Safe Immunisation,2. Processes for safe immunisation,Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.4: Funded immunisation for adults,"页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.4: Funded immunisation for adults
---
See Table 2.5 below for additional adult vaccination recommendations, including vaccinations recommended for special groups (funded vaccines are in the shaded boxes). See also chapter 4 ‘Immunisation of special groups’ for information about immunisation during pregnancy and lactation ( section 4.1 ), of immunocompromised individuals ( section 4.3 ), of immigrants and refugees ( section 4.7 ), for those with occupational-related vaccination ( (external link) section 4.8 ) and for travel ( section 4.9 ).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
155,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
Recommended and funded

Recommended but not funded

Three primary doses for severely immunocompromised

Additional doses available to certain groups

Hib-PRP (chapters 4 and 7 )

(Re)vaccination of patients post-haematopoietic stem cell transplant (HSCT) or chemotherapy; pre- or post-splenectomy or with functional asplenia; pre- or post-solid organ transplant, pre- or post-cochlear implants, renal dialysis and other severely immunosuppressive regimens

Hepatitis A ( chapter 8 )

Transplant patients

Close contacts of hepatitis A cases a

Patients with chronic hepatitis B or C infection; men who have sex with men; adults at occupational risk

Hepatitis B ( chapter 9 )

Household or sexual contacts of patients with acute or chronic HBV infection

HIV-positive patients

Hepatitis C-positive patients

Following non-consensual sexual intercourse

Prior to or following immunosuppression b

Solid organ transplant patients

Post-HSCT patients",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
156,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
Following needle-stick injury

Dialysis patients

Liver or kidney transplant patients

Non-immune adults at risk including occupational or other risk factors

HPV ( chapter 10 )

All individuals aged 9–26 years c,d

Individuals aged 18–26 years who are: c,d

- confirmed with HIV infection

- transplant (including stem cell) patients

- an additional dose post-chemotherapy

Adults ≥27 years: c,d,e

- who have had little previous exposure to HPV and are now likely to be exposed

- who are men who have sex with men

Annual influenza vaccine ( chapter 11 )

Pregnant women and other pregnant people

Individuals aged 65 years and older

Individuals aged under 65 years with eligible conditions

See www.immune.org.nz (external link)

Close contacts of elderly adults and other high-risk groups

All other adults

MMR (chapters 12 , 14 and 21 )

Any individual susceptible to any one of these three diseases",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
157,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
(Re)vaccination prior to planned or following immunosuppression b

MenACWY and MenB (chapters 4 and 13 )

For patients who are pre- or post-splenectomy or with functional asplenia; with HIV; with complement deficiency (acquired, including monoclonal antibody therapy against C5, or inherited); who are pre- or post-solid organ transplant

Close contacts of meningococcal cases a

Patients who have had previous meningococcal disease (any group)

HSCT (bone marrow transplant) patients

Patients prior to planned and following immunosuppression b

Adolescents and young adults aged 13–25 years inclusively who will be living or are currently living in a boarding school hostel or university hall of residence, military barracks, youth justice residences or prison

Laboratory workers handling bacterial cultures

Health care professionals in very close contact with cases

Mpox vaccine (chapter 14 )

Adults at high risk of exposure to mpox virus",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
158,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
Pertussis-containing vaccine (chapters 4 and 16 )

Tdap is recommended to be given from 16 weeks’ gestation of every pregnancy, preferably in the second trimester to protect both the mother and her infant from pertussis

Tdap for (re)vaccination of patients who are post-HSCT or chemotherapy; pre- or post-splenectomy; pre- or post-solid organ transplant, renal dialysis and other severely immunosuppressive regimens

Tdap if in contact with infants aged under 12 months

PCV13 and 23PPV (chapters 4 and 17 )

(Re)vaccination of patients with HIV; pre- or post-HSCT f or chemotherapy; f pre- or post-splenectomy or with functional asplenia; pre- or post-solid organ transplant; renal dialysis; complement deficiency (acquired or inherited); cochlear implants; primary immune deficiency

PCV13 followed by 23PPV for those with certain conditions

PCV13 followed by 23PPV for those aged 65 years or older

IPV ( chapter 18 )",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
159,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
Any unvaccinated or partially vaccinated individual

(Re)vaccination prior to planned or following immunosuppression b

Travellers to certain high-risk countries

RSV ( chapter 19 )

Can be considered for adults aged 50 years and over at increased risk of severe RSV illness, particularly for frail elderly

Tetanus (Tdap) (chapters 4 and 22 )

Tdap for susceptible individuals (including following immunosuppression); boosters at 45 (if had less than 4 previous doses of tetanus vaccine) plus 65 years; boosting of patients with tetanus-prone wounds

Varicella ( chapter 24 )

Non-immune patients:

- with chronic liver disease who may need a transplant in the future

- with deteriorating renal function before transplantation

- prior to solid organ transplant

- prior to any planned immunosuppression b

- for post-exposure prophylaxis of immune-competent hospital in-patients

Patients at least 2 years after bone marrow transplant g",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
160,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
Patients at least 6 months after completion of chemotherapy g

HIV-positive patients who are non-immune to varicella, with mild or moderate immunosuppression g

Patients with inborn errors of metabolism at risk of major metabolic decompensation, with no clinical history of varicella

Household members of paediatric patients who are immunocompromised or undergoing a procedure leading to immunocompromise, where the household member has no clinical history of varicella

Household members of adult patients who have no clinical history of varicella and who are severely immunocompromised or undergoing a procedure leading to immunocompromise, where the household member has no clinical history of varicella

Susceptible adults

Zoster ( chapter 25 )

Individuals at age 65 years.

Individuals aged from 18 years, including those aged 66 years and over,

- pre- and post-haematopoietic stem cell transplant or cellular therapy",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
161,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
- pre- or post-solid organ transplant

- with haematological malignancies

- living with poorly controlled HIV infection

- prior to planned or receiving disease-modifying anti-rheumatic drugs (DMARDs – targeted synthetic, biologic, or conventional synthetic) for polymyalgia rheumatica, systemic lupus erythematosus or rheumatoid arthritis

- with end-stage kidney disease (CKD 4 or 5)

- with primary immunodeficiency.

rZV may be considered, but is not funded, for individuals who are:

- aged over 66 years

- aged from 50 years at increased risk of shingles and who may benefit from being vaccinated earlier than the routine schedule

- aged from 18 years with other immunocompromising conditions not included in funded indications.

a. Only 1 dose of vaccine is funded for close contacts.

b. Note that the period of immunosuppression due to steroid or other immunosuppressive therapy must be longer than 28 days.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
162,Processes For Safe Immunisation,2. Processes for safe immunisation,"Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements","页面标题：2. Processes for safe immunisation
章节：Individuals with these conditions should be vaccinated with all the recommended vaccines. > Table 2.5: Adult (≥18 years) vaccination recommendations, excluding travel requirements
---
c. Individuals who started with HPV4 may complete their remaining doses with HPV9.

d. Individuals who were <27 years when they commenced HPV vaccination are currently funded to complete the 3-dose course, even if they are ≥27 years when they complete it.

e. HPV9 vaccine is registered for use in females and males aged 9–45 years.

f. PCV13 is funded pre- or post-HSCT or chemotherapy. 23PPV is only funded post-HSCT or chemotherapy.

g. On the advice of their specialist.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
163,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.1. Minimising pain and distress at the time of vaccination,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.1. Minimising pain and distress at the time of vaccination
---
The WHO key recommendations for minimising pain and distress at the time of vaccination are:[ 3 , 4 ]

- do not aspirate (draw back) when giving vaccines

- administer vaccines from the least to the most painful for all ages

- breastfeed before and during vaccine injection

- position (hold the infant/young child, individuals aged 3 years and older should sit up, parental presence)

- for infants, give oral rotavirus vaccine before injections (the vaccine contains sucrose that can reduce pain)

- use calming and supportive words at the time of vaccination; avoid language that increases anxiety

- provide appropriate distractions

- consider using topical anaesthetics (only if the cost is acceptable to the family).

See also section 2.3.2 and the IMAC factsheets Mitigating Vaccination Pain and Distress and Fear of Needles or Needle Phobia (available on the IMAC website (external link) ).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
164,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Key points for administering injectable vaccines,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Key points for administering injectable vaccines
---
Vaccines should not be mixed in the same syringe, unless the prescribing information sheet speci?cally states it is permitted or essential (eg, DTaP-IPV-HepB/Hib).

Careful use of a longer needle will cause less damage than a short needle.

To avoid tracking, make sure all the vaccine has been injected before smoothly withdrawing the needle.

Correct vaccine administration is important, and vaccinators have a responsibility to see that vaccines are given:

- in the optimal site as recommended in Handbook

- using the appropriate needle size for vaccine effectiveness and patient safety.

The use of alternative sites will be based on professional judgement, including knowledge of the potential risks at each site and recommendations in the manufacturer’s data sheet.

The guidelines in Table 2.6 will help to make the experience less distressing for the individual, parent/guardian and/or whānau, and vaccinator.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
165,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Table 2.6: Guidelines for vaccine administration,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Table 2.6: Guidelines for vaccine administration
---
Immunisation event

Vaccinate in a private and appropriate setting.

Draw up injections out of sight, if possible. Medical equipment is commonplace to vaccinators, but it may heighten the anxiety of some individuals.

Prepare the area/room layout to suit the vaccinator and vaccination event.

Ensure the individual or parent/guardian has had the opportunity to discuss any concerns and has given informed consent.

Be familiar with the vaccines (eg, their correct preparation, administration and the potential for adverse events).

Be prepared to include other family members and whānau in the discussion; explain to older children accompanying infants why the injections are being given and what will happen.

Be aware of the individual’s immunisation history (eg, submit a status query to the AIR, if the history is unknown).

Give the appropriate immunisations due and advise when the next immunisation event is due.

Ensure there are age-appropriate distractions available.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
166,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Table 2.6: Guidelines for vaccine administration,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Table 2.6: Guidelines for vaccine administration
---
For breastfed babies, suggest that the mother breastfeeds baby before, during and after immunisation.

For children, sit them upright and talk quietly to them before and during immunisation. Make eye contact and explain what is going to happen. Even when a child is unable to understand the words, an unhurried, quiet approach has a calming effect and reassures the parent/guardian.

See also section 2.3.2 .

Ensure the relevant immunisation health education resources are available.

Give written and verbal advice to the individual and parent/guardian. The advice should cover what may be expected after immunisation, and what to do in the event of an adverse event, along with advice on when to notify the vaccinator.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
167,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Removal of air bubbles,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Removal of air bubbles
---
Advice for removal of air in the syringe before vaccine administration is dependent on the vaccine presentation. For guidelines see Table 2.7 .",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
168,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Table 2.7: Guidelines for management of air bubbles in a vaccine syringe,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Table 2.7: Guidelines for management of air bubbles in a vaccine syringe
---
Vaccine presentation

Management of air bubbles

Vaccines supplied in a prefilled syringe with a fixed needle

Do not expel the air

Vaccines supplied in a prefilled syringe without a fixed needle (eg, Gardasil 9)

Add an appropriate administration needle

Do not expel the air

Vaccines supplied diluted in a vial

Draw up the entire vaccine volume into a syringe

Expel the air until the vaccine is at the level of the syringe hub, then change the needle

Do not expel the air contained in the new needle

Vaccines supplied as diluent and powder/pellet requiring reconstitution a

Reconstitute the vaccine correctly

Draw up the entire vaccine volume into a syringe

Expel the air until the vaccine is at the level of the syringe hub, then change the needle a

Do not expel the air contained in the new needle

a. See section 5.4.5 for administration procedures of COVID-19 vaccines.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
169,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Skin preparation,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Skin preparation
---
Skin preparation or cleansing when the injection site is clean is not necessary. However, if an alcohol swab is used, it must be allowed to dry for at least two minutes, otherwise alcohol may be tracked into the muscle, causing local irritation. Alcohol may also inactivate a live attenuated vaccine such as MMR.

A dirty injection site may be washed with soap and water and thoroughly dried before the immunisation event.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
170,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Special considerations for COVID-19,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.2. Preparing for vaccine administration > Special considerations for COVID-19
---
In patients who have had acute COVID-19 illness or tested positive for SARS-CoV2 virus, COVID-19 vaccination is recommended to be continued from six months after recovery from acute illness, or six months from the first confirmed positive test if asymptomatic. This applies for any additional doses (see Vaccination following SARS-CoV-2 infection ) For all other vaccines, commence vaccination as soon as the individual is no longer acutely unwell and when cleared to leave isolation.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
171,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.3. Route of administration,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration
---
Most Schedule vaccines are administered by intramuscular injection. The exceptions are IPV (IPOL; subcutaneously), BCG (intradermally) and rotavirus (oral). Live vaccines have previously been given via SC route and data sheets may still show this as an option, which can be helpful for those with bleeding disorders (see below).",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
172,Processes For Safe Immunisation,2. Processes for safe immunisation,"2.2. Vaccine administration > 2.2.3. Route of administration > Needle angle, gauge and length","页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Needle angle, gauge and length
---
Intramuscular injections should be administered at a 90-degree angle to the skin plane. The needle length used will be determined by the size of the limb and muscle bulk, whether the tissue is bunched or stretched and the vaccinator’s professional judgement. BCG vaccine (which can only be administered by authorised vaccinators with BCG endorsement) is given by intradermal injection. See Table 2.8 .",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
173,Processes For Safe Immunisation,2. Processes for safe immunisation,"2.2. Vaccine administration > 2.2.3. Route of administration > Table 2.8: Needle gauge and length, by site and age","页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Table 2.8: Needle gauge and length, by site and age
---
Needle gauge and length

Intramuscular (IM) injection

Vastus lateralis

23–25 G × 16 mm

Vastus lateralis

23–25 G × 16 or 25 mm

Choice of needle length will be based on the vaccinator’s professional judgement.

Vastus lateralis

23–25 G × 25 mm

A 25 mm needle will ensure deep IM vaccine deposition.

12 months to 3 years

Vastus lateralis

23–25 G × 16 mm

23–25 G × 25 mm

The vastus lateralis site may be the preferred option in young children if deltoid muscle bulk is small or multiple injections are necessary.

Vastus lateralis a

23–25 G × 16 mm

21–22 G × 25 mm

A 16 mm needle should be suf?cient to effect deep IM deposition in the deltoid in most children.

Older children (7 years and older), adolescents and adults

Vastus lateralis a

23–25 G × 16 mm, or 23–25 G × 25 mm, or 21–22 G × 38 mm

21–22 G × 38 mm

Most adolescents and adults will require a 25 mm needle to effect deep IM deposition.

Very large or obese person

21-22 G x 38 mm",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
174,Processes For Safe Immunisation,2. Processes for safe immunisation,"2.2. Vaccine administration > 2.2.3. Route of administration > Table 2.8: Needle gauge and length, by site and age","页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Table 2.8: Needle gauge and length, by site and age
---
Use clinical judgment to ensure needle length is appropriate to reach muscle.[ 4 , 5 ]

Subcutaneous injection

Subcutaneous injection

Deltoid region of the upper arm

25–26 G × 16 mm

An insertion angle of 45 degrees is recommended. The needle should never be longer than 16 mm or inadvertent IM administration could result.

Intradermal injection: BCG vaccine – for authorised vaccinators with BCG endorsement

Intradermal injection

Slightly above the insertion of the deltoid muscle on the lateral surface of the left arm. The arm should be gently but firmly supported.

Drawing-up: Tuberculin syringe (attach a drawing-up needle), or a single-use insulin syringe with a needle attached

Administering: If using a tuberculin syringe, change the needle to a sterile 26 G × 13 or 16 mm needle (no needle change required if using an insulin syringe)",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
175,Processes For Safe Immunisation,2. Processes for safe immunisation,"2.2. Vaccine administration > 2.2.3. Route of administration > Table 2.8: Needle gauge and length, by site and age","页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Table 2.8: Needle gauge and length, by site and age
---
The syringe should be held with the bevel uppermost, parallel with the skin of the arm. The bevel should be fully inserted but visible under the skin. Inject the vaccine slowly and gradually to form a white ‘bleb’ or wheal, then gradually withdraw the needle.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
176,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.3. Route of administration > Intramuscular injection sites,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Intramuscular injection sites
---
Injectable vaccines should be administered in healthy, well-developed muscle, in a site as free as possible from the risk of local, neural, vascular and tissue injury. Incorrectly administered vaccines (incorrect sites and poor administration techniques) contribute to vaccine failure, injection-site nodules or sterile abscesses, and increased local reactions.

Careful use of a longer needle will cause less damage than a shorter needle.

The recommended sites for intramuscular (IM) vaccines (based on proven uptake and safety data) are:

- the vastus lateralis muscle on the anterolateral thigh for infants aged under 12 months – the vastus lateralis muscle is large, thick and well developed in infants, wrapping slightly onto the anterior thigh

- either the vastus lateralis or deltoid site for children aged 12 months to 3 years (see below)

- the deltoid muscle for older children, adolescents and adults.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
177,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.3. Route of administration > Intramuscular injection sites,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Intramuscular injection sites
---
The deltoid muscle is not routinely used in infants and young children aged under 12 months, due to the potential for deltoid or radial nerve injury. However, when there is no access to the vastus lateralis (eg, the infant is in a spica cast), the deltoid muscle is used to administer intramuscular vaccines.

The buttock should not be used for the administration of vaccines in infants or young children, because the buttock region is mostly subcutaneous fat until the child has been walking for at least 9 to 12 months. Use of the buttock is not recommended for adult vaccinations either, because the buttock subcutaneous layer can vary from 1 to 9 cm and IM deposition may not occur.

With older children and adults, consideration may be given to using the vastus lateralis as an alternative site to the deltoid.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
178,Processes For Safe Immunisation,2. Processes for safe immunisation,2.2. Vaccine administration > 2.2.3. Route of administration > Subcutaneous injection sites,"页面标题：2. Processes for safe immunisation
章节：2.2. Vaccine administration > 2.2.3. Route of administration > Subcutaneous injection sites
---
A subcutaneous (SC) injection should be given into healthy tissue that is away from bony prominences and free of large blood vessels or nerves. The recommended site for subcutaneous vaccine administration is the upper arm (overlying the deltoid muscle).

The principles for locating the upper arm site for an SC injection are the same as for an IM injection. However, needle length is more critical than angle of insertion for subcutaneous injections. An insertion angle of 45 degrees is recommended, and the needle should never be longer than 16 mm, or inadvertent IM administration could result. The thigh may be used for SC vaccination unless contraindicated by the manufacturer’s data sheet. For patients with thrombocytopenia and bleeding disorders, the risk of haematoma may be reduced when given via SC route. See below for further details.",NZ Immunisation Handbook (Te Whatu Ora),https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/immunisation-handbook/2-processes-for-safe-immunisation
